Date,Open,High,Low,Close,Volume,Adj Close
2013-10-29,47.16,47.16,47.16,47.16,000,46.71
2013-10-28,47.15,47.15,47.15,47.15,000,46.70
2013-10-25,47.18,47.18,47.18,47.18,000,46.73
2013-10-24,47.42,47.42,47.42,47.42,000,46.97
2013-10-23,47.20,47.20,47.20,47.20,000,46.75
2013-10-22,47.51,47.51,47.51,47.51,000,47.06
2013-10-21,47.19,47.19,47.19,47.19,000,46.74
2013-10-18,47.20,47.20,47.20,47.20,000,46.75
2013-10-17,46.82,46.82,46.82,46.82,000,46.37
2013-10-16,46.34,46.34,46.34,46.34,000,45.90
2013-10-15,45.95,45.95,45.95,45.95,000,45.51
2013-10-14,46.10,46.10,46.10,46.10,000,45.66
2013-10-11,46.05,46.05,46.05,46.05,000,45.61
2013-10-10,45.73,45.73,45.73,45.73,000,45.29
2013-10-09,44.95,44.95,44.95,44.95,000,44.52
2013-10-08,44.95,44.95,44.95,44.95,000,44.52
2013-10-07,45.39,45.39,45.39,45.39,000,44.96
2013-10-04,45.66,45.66,45.66,45.66,000,45.22
2013-10-03,45.62,45.62,45.62,45.62,000,45.18
2013-10-02,45.64,45.64,45.64,45.64,000,45.20
2013-10-01,45.61,45.61,45.61,45.61,000,45.17
2013-09-30,45.19,45.19,45.19,45.19,000,44.76
2013-09-27,45.59,45.59,45.59,45.59,000,45.15
2013-09-26,45.54,45.54,45.54,45.54,000,45.10
2013-09-25,45.53,45.53,45.53,45.53,000,45.09
2013-09-24,45.47,45.47,45.47,45.47,000,45.03
2013-09-23,45.46,45.46,45.46,45.46,000,45.03
2013-09-20,45.57,45.57,45.57,45.57,000,45.13
2013-09-19,45.90,45.90,45.90,45.90,000,45.46
2013-09-18,45.84,45.84,45.84,45.84,000,45.40
2013-09-17,44.94,44.94,44.94,44.94,000,44.51
2013-09-16,45.00,45.00,45.00,45.00,000,44.57
2013-09-13,44.49,44.49,44.49,44.49,000,44.06
2013-09-12,44.53,44.53,44.53,44.53,000,44.10
2013-09-11,44.61,44.61,44.61,44.61,000,44.18
2013-09-10,44.50,44.50,44.50,44.50,000,44.07
2013-09-09,43.89,43.89,43.89,43.89,000,43.47
2013-09-06,43.38,43.38,43.38,43.38,000,42.96
2013-09-05,43.11,43.11,43.11,43.11,000,42.70
2013-09-04,42.99,42.99,42.99,42.99,000,42.58
2013-09-03,42.80,42.80,42.80,42.80,000,42.39
2013-08-30,42.29,42.29,42.29,42.29,000,41.89
2013-08-29,42.58,42.58,42.58,42.58,000,42.17
2013-08-28,42.39,42.39,42.39,42.39,000,41.98
2013-08-27,42.58,42.58,42.58,42.58,000,42.17
2013-08-26,43.49,43.49,43.49,43.49,000,43.07
2013-08-23,43.49,43.49,43.49,43.49,000,43.07
2013-08-22,43.35,43.35,43.35,43.35,000,42.94
2013-08-21,42.98,42.98,42.98,42.98,000,42.57
2013-08-20,43.29,43.29,43.29,43.29,000,42.88
2013-08-19,43.44,43.44,43.44,43.44,000,43.02
2013-08-16,43.80,43.80,43.80,43.80,000,43.38
2013-08-15,43.74,43.74,43.74,43.74,000,43.32
2013-08-14,43.96,43.96,43.96,43.96,000,43.54
2013-08-13,43.86,43.86,43.86,43.86,000,43.44
2013-08-12,43.63,43.63,43.63,43.63,000,43.21
2013-08-09,43.70,43.70,43.70,43.70,000,43.28
2013-08-08,43.58,43.58,43.58,43.58,000,43.16
2013-08-07,43.39,43.39,43.39,43.39,000,42.97
2013-08-06,43.59,43.59,43.59,43.59,000,43.17
2013-08-05,43.82,43.82,43.82,43.82,000,43.40
2013-08-02,43.83,43.83,43.83,43.83,000,43.41
2013-08-01,43.65,43.65,43.65,43.65,000,43.23
2013-07-31,43.02,43.02,43.02,43.02,000,42.61
2013-07-30,43.07,43.07,43.07,43.07,000,42.66
2013-07-29,43.02,43.02,43.02,43.02,000,42.61
2013-07-26,43.32,43.32,43.32,43.32,000,42.91
2013-07-25,43.56,43.56,43.56,43.56,000,43.14
2013-07-24,43.43,43.43,43.43,43.43,000,43.01
2013-07-23,43.41,43.41,43.41,43.41,000,42.99
2013-07-22,43.19,43.19,43.19,43.19,000,42.78
2013-07-19,43.02,43.02,43.02,43.02,000,42.61
2013-07-18,43.08,43.08,43.08,43.08,000,42.67
2013-07-17,42.94,42.94,42.94,42.94,000,42.53
2013-07-16,42.78,42.78,42.78,42.78,000,42.37
2013-07-15,42.68,42.68,42.68,42.68,000,42.27
2013-07-12,42.59,42.59,42.59,42.59,000,42.18
