Date,Open,High,Low,Close,Volume,Adj Close
2013-12-10,16.99,16.99,16.99,16.99,000,16.77
2013-12-09,17.06,17.06,17.06,17.06,000,16.84
2013-12-06,17.03,17.03,17.03,17.03,000,16.81
2013-12-05,16.87,16.87,16.87,16.87,000,16.65
2013-12-04,16.92,16.92,16.92,16.92,000,16.70
2013-12-03,16.95,16.95,16.95,16.95,000,16.73
2013-12-02,16.99,16.99,16.99,16.99,000,16.77
2013-11-29,17.05,17.05,17.05,17.05,000,16.83
2013-11-27,17.07,17.07,17.07,17.07,000,16.85
2013-11-26,17.04,17.04,17.04,17.04,000,16.82
2013-11-25,17.00,17.00,17.00,17.00,000,16.78
2013-11-22,17.02,17.02,17.02,17.02,000,16.80
2013-11-21,16.92,16.92,16.92,16.92,000,16.70
2013-11-20,16.77,16.77,16.77,16.77,000,16.55
2013-11-19,16.81,16.81,16.81,16.81,000,16.59
2013-11-18,16.88,16.88,16.88,16.88,000,16.66
2013-11-15,16.95,16.95,16.95,16.95,000,16.73
2013-11-14,16.88,16.88,16.88,16.88,000,16.66
2013-11-13,16.80,16.80,16.80,16.80,000,16.58
2013-11-12,16.64,16.64,16.64,16.64,000,16.43
2013-11-11,16.67,16.67,16.67,16.67,000,16.46
2013-11-08,16.65,16.65,16.65,16.65,000,16.44
2013-11-07,16.41,16.41,16.41,16.41,000,16.20
2013-11-06,16.62,16.62,16.62,16.62,000,16.41
2013-11-05,16.57,16.57,16.57,16.57,000,16.36
2013-11-04,16.64,16.64,16.64,16.64,000,16.43
2013-11-01,16.59,16.59,16.59,16.59,000,16.38
2013-10-31,16.55,16.55,16.55,16.55,000,16.34
2013-10-30,16.61,16.61,16.61,16.61,000,16.40
2013-10-29,16.69,16.69,16.69,16.69,000,16.47
2013-10-28,16.59,16.59,16.59,16.59,000,16.38
2013-10-25,16.60,16.60,16.60,16.60,000,16.39
2013-10-24,16.56,16.56,16.56,16.56,000,16.35
2013-10-23,16.52,16.52,16.52,16.52,000,16.31
2013-10-22,16.60,16.60,16.60,16.60,000,16.39
2013-10-21,16.52,16.52,16.52,16.52,000,16.31
2013-10-18,16.54,16.54,16.54,16.54,000,16.33
2013-10-17,16.39,16.39,16.39,16.39,000,16.18
2013-10-16,16.28,16.28,16.28,16.28,000,16.07
2013-10-15,16.05,16.05,16.05,16.05,000,15.84
2013-10-14,16.20,16.20,16.20,16.20,000,15.99
2013-10-11,16.12,16.12,16.12,16.12,000,15.91
2013-10-10,16.03,16.03,16.03,16.03,000,15.82
2013-10-09,15.66,15.66,15.66,15.66,000,15.46
2013-10-08,15.66,15.66,15.66,15.66,000,15.46
2013-10-07,15.88,15.88,15.88,15.88,000,15.68
2013-10-04,15.99,15.99,15.99,15.99,000,15.78
2013-10-03,15.88,15.88,15.88,15.88,000,15.68
2013-10-02,16.03,16.03,16.03,16.03,000,15.82
2013-10-01,16.03,16.03,16.03,16.03,000,15.82
2013-09-30,15.88,15.88,15.88,15.88,000,15.68
2013-09-27,15.97,15.97,15.97,15.97,000,15.76
2013-09-26,16.04,16.04,16.04,16.04,000,15.83
2013-09-25,15.97,15.97,15.97,15.97,000,15.76
2013-09-24,16.00,16.00,16.00,16.00,000,15.79
2013-09-23,16.06,16.06,16.06,16.06,000,15.85
2013-09-20,16.11,16.11,16.11,16.11,000,15.90
2013-09-19,16.24,16.24,16.24,16.24,000,16.03
2013-09-18,16.27,16.27,16.27,16.27,000,16.06
2013-09-17,16.09,16.09,16.09,16.09,000,15.88
2013-09-16,16.04,16.04,16.04,16.04,000,15.83
2013-09-13,15.95,15.95,15.95,15.95,000,15.74
2013-09-12,15.92,15.92,15.92,15.92,000,15.71
2013-09-11,15.96,15.96,15.96,15.96,000,15.75
2013-09-10,15.90,15.90,15.90,15.90,000,15.70
2013-09-09,15.80,15.80,15.80,15.80,000,15.60
2013-09-06,15.66,15.66,15.66,15.66,000,15.46
2013-09-05,15.67,15.67,15.67,15.67,000,15.47
2013-09-04,15.63,15.63,15.63,15.63,000,15.43
2013-09-03,15.48,15.48,15.48,15.48,000,15.28
2013-08-30,15.39,15.39,15.39,15.39,000,15.19
2013-08-29,15.48,15.48,15.48,15.48,000,15.28
2013-08-28,15.42,15.42,15.42,15.42,000,15.22
2013-08-27,15.36,15.36,15.36,15.36,000,15.16
2013-08-26,15.62,15.62,15.62,15.62,000,15.42
2013-08-23,15.65,15.65,15.65,15.65,000,15.45
2013-08-22,15.61,15.61,15.61,15.61,000,15.41
2013-08-21,15.46,15.46,15.46,15.46,000,15.26
2013-08-20,15.56,15.56,15.56,15.56,000,15.36
2013-08-19,15.48,15.48,15.48,15.48,000,15.28
2013-08-16,15.57,15.57,15.57,15.57,000,15.37
2013-08-15,15.61,15.61,15.61,15.61,000,15.41
2013-08-14,15.82,15.82,15.82,15.82,000,15.62
2013-08-13,15.91,15.91,15.91,15.91,000,15.70
2013-08-12,15.84,15.84,15.84,15.84,000,15.64
2013-08-09,15.86,15.86,15.86,15.86,000,15.66
2013-08-08,15.91,15.91,15.91,15.91,000,15.70
2013-08-07,15.87,15.87,15.87,15.87,000,15.67
2013-08-06,15.93,15.93,15.93,15.93,000,15.72
2013-08-05,16.04,16.04,16.04,16.04,000,15.83
2013-08-02,16.06,16.06,16.06,16.06,000,15.85
2013-08-01,16.02,16.02,16.02,16.02,000,15.81
2013-07-31,15.77,15.77,15.77,15.77,000,15.57
2013-07-30,15.74,15.74,15.74,15.74,000,15.54
2013-07-29,15.71,15.71,15.71,15.71,000,15.51
2013-07-26,15.78,15.78,15.78,15.78,000,15.58
2013-07-25,15.76,15.76,15.76,15.76,000,15.56
2013-07-24,15.70,15.70,15.70,15.70,000,15.50
2013-07-23,15.73,15.73,15.73,15.73,000,15.53
2013-07-22,15.79,15.79,15.79,15.79,000,15.59
2013-07-19,15.75,15.75,15.75,15.75,000,15.55
2013-07-18,15.70,15.70,15.70,15.70,000,15.50
2013-07-17,15.59,15.59,15.59,15.59,000,15.39
2013-07-16,15.55,15.55,15.55,15.55,000,15.35
2013-07-15,15.59,15.59,15.59,15.59,000,15.39
2013-07-12,15.56,15.56,15.56,15.56,000,15.36
2013-07-11,15.52,15.52,15.52,15.52,000,15.32
2013-07-10,15.33,15.33,15.33,15.33,000,15.13
2013-07-09,15.33,15.33,15.33,15.33,000,15.13
2013-07-08,15.23,15.23,15.23,15.23,000,15.03
2013-07-05,15.14,15.14,15.14,15.14,000,14.94
2013-07-03,14.98,14.98,14.98,14.98,000,14.79
2013-07-02,14.96,14.96,14.96,14.96,000,14.77
2013-07-01,14.94,14.94,14.94,14.94,000,14.75
2013-06-28,14.90,14.90,14.90,14.90,000,14.66
2013-06-27,14.95,14.95,14.95,14.95,000,14.71
2013-06-26,14.86,14.86,14.86,14.86,000,14.62
2013-06-25,14.71,14.71,14.71,14.71,000,14.47
2013-06-24,14.58,14.58,14.58,14.58,000,14.35
2013-06-21,14.78,14.78,14.78,14.78,000,14.54
2013-06-20,14.79,14.79,14.79,14.79,000,14.55
2013-06-19,15.14,15.14,15.14,15.14,000,14.90
2013-06-18,15.35,15.35,15.35,15.35,000,15.10
2013-06-17,15.22,15.22,15.22,15.22,000,14.98
2013-06-14,15.10,15.10,15.10,15.10,000,14.86
2013-06-13,15.18,15.18,15.18,15.18,000,14.94
